Module Title, Learning Outcome, Promoted Skill and Knowledge
"Course_Data_Governance_and_Information_Management","Improve service to customers with digitalization","S100,S128,S129,K125,K126,K127,K128,K129"
"Course_Data_Governance_and_Information_Management","Build new digital products and services","S100,S128,S129,K125,K126,K127,K128,K129"
"Course_Data_Governance_and_Information_Management","Make proposals to transform business models","S85,S86,K55,K56,K57,K58"
"Course_Data_Governance_and_Information_Management","Provide necessary steps for good data management","S102,S107,S108,S182,S222,K97,K98,K99,K104,K105,K207,K208,K209,K210"
"Course_Data_Governance_and_Information_Management","Give necessary conditions for successful use of big data","S14,S54,S55,S325,S326,S327,K97,K98,K99,K100,K101"
"Course_Data_Governance_and_Information_Management","Assess the domain of use of coming data-driven technologies (AI, Blockchain)","S14,S15,S18,S184,S194,S195,S205,K20,K33,K34,K35,K36,K37,K38,K39,K40,K41,K42,K43,K44,K45,K46,K47,K48,K49,K118,K306"
"Course_Data_Governance_and_Information_Management","Show analytical skills to assess data use, define necessary conditions, and solve problems","S4,S16,S17,S72,S98,S161,S261,S262,K52,K53,K54,K55,K56,K57,K58"
"Course_Data_Science","Understand how to extract knowledge from data","S14,S54,S55,S88,S89,S325,S326,S327,S328,S350,K20,K97,K98,K101,K105,K118,K244"
"Course_Data_Science","Comprehend basic principles of machine learning algorithms","S14,S54,S55,S88,S89,S325,S326,S327,S328,S350,K12,K20,K97,K98,K101,K105,K118,K244"
"Course_Data_Science","Apply machine learning algorithms in practical settings","S14,S54,S55,S88,S89,S325,S326,S327,S328,S350,K12,K20,K97,K98,K101,K105,K118,K244,K327,K342"
"Course_Data_Science","Design data science processes including data preprocessing","S14,S88,S89,S325,S326,S327,S328,S350,K97,K98,K100,K101,K104,K105"
"Course_Data_Science","Evaluate and interpret machine learning algorithms","S14,S54,S55,S325,S326,S327,S328,S350,K12,K20,K97,K98,K101,K105,K118,K244"
"Course_Data_Science","Compare results of different models for machine learning tasks","S14,S54,S55,S325,S326,S327,S328,S350,K12,K20,K97,K98,K101,K105,K118,K244"
"Course_Data_Science","Apply supervised and unsupervised learning techniques","S14,S54,S55,S325,S326,S327,S328,S350,K12,K20,K97,K98,K101,K105,K118,K244"
"Course_Data_Science","Understand and apply artificial neural networks","S14,S54,S55,S325,S326,S327,S328,S350,K20,K97,K98,K101,K105,K118,K244"
"Course_Data_Science","Utilize the R programming language for data science tasks","S14,S54,S55,S325,S326,S327,S328,S350,K327,K342"
"Course_Digitalization_of_Business_Processes","Recognize and explain how digitalisation affects business information systems supporting business processes","S16,S17,S24,S72,K53,K55,K56,K128,K129"
"Course_Digitalization_of_Business_Processes","Express and defend how cooperation between humans and technology can result in adequate business process execution","S27,S65,S98,S169,K56,K165,K212"
"Course_Digitalization_of_Business_Processes","Understand concepts of cyberphysical systems","S19,S34,K128,K139,K265"
"Course_Digitalization_of_Business_Processes","Design and implement workflows to automate business processes and decision tasks","S85,S97,S153,S232,K7,K55,K56,K117,K307"
"Course_Digitalization_of_Business_Processes","Compose and use existing APIs to integrate microservices or automation services for business processes","S13,S80,S106,S241,K10,K11,K416"
"Course_Digitalization_of_Business_Processes","Design and integrate adequate user interfaces such as webforms","S119,S136,S224,S407,K19,K94,K366,K368"
"Course_Digitalization_of_Business_Processes","Prototype cyberphysical systems through a model-based approach","S95,S159,K128,K265,K315"
"Course_Digitalization_of_Business_Processes","Select adequate digital components such as workflow systems, APIs or user interfaces","S9,S317,S357,K53,K56,K416"
"Course_Digitalization_of_Business_Processes","Select an appropriate level of workflow automation","S6,S261,S262,K55,K56,K307"
"Course_Digitalization_of_Business_Processes","Describe a prototype and findings in a report","S44,S372,S380,K134"
"Course_Digitalization_of_Business_Processes","Demonstrate and present final results in a short presentation","S202,S434,K409"
"Course_Digitalization_of_Business_Processes","Identify knowledge needs regarding required APIs or technical skills","S46,S214,S310,K80,K365,K416"
"Course_Digitalization_of_Business_Processes","Schedule, plan and conduct a digitalisation project and implement a prototype","S183,S286,S298,S335,K8,K188,K189,K313,K315"
"Course_E-Business_and_Mobile_Business","Understand terminology of business software, e-business, digitalization, mobile business, and business applications","K53,K69,K124,K125,K128,K129,K220"
"Course_E-Business_and_Mobile_Business","Comprehend how e-business and mobile applications support and change business practices","S16,S17,S72,K53,K56,K69,K124,K125,K128,K220"
"Course_E-Business_and_Mobile_Business","Gain knowledge of relationships between organizational requirements and technical support for e-business and mobile business","S16,S17,S72,K53,K56,K69,K124,K125,K128,K220"
"Course_E-Business_and_Mobile_Business","Align strategic and organizational goals with e-business and mobile applications","S16,S17,S72,S85,K53,K55,K56,K58,K69,K124,K125,K128,K220"
"Course_E-Business_and_Mobile_Business","Identify potential of e-business and mobile applications in the value chain","S16,S17,S72,S85,K53,K55,K56,K58,K69,K124,K125,K128,K220"
"Course_E-Business_and_Mobile_Business","Apply theories and concepts to an exemplary case","S16,S17,S72,S85,K53,K55,K56,K58,K69,K124,K125,K128,K220"
"Course_E-Business_and_Mobile_Business","Analyze and understand trends in e-business and mobile business","S16,S17,S72,S310,S313,K53,K69,K124,K125,K128,K129,K220"
"Course_E-Business_and_Mobile_Business","Assess impact of e-business and mobile business trends on business development","S16,S17,S72,S310,S313,K53,K69,K124,K125,K128,K129,K220"
"Course_E-Business_and_Mobile_Business","Improve communication abilities through discussions and presentations","S62,S64,S65,S202,K409"
"Course_E-Business_and_Mobile_Business","Conduct online research on recent developments in specific topics","S73,S74,S75,S310,S313,K346"
"Course_E-Business_and_Mobile_Business","Use existing tutorials and templates to develop individual software application solutions","S80,S159,K69,K124,K125,K128,K220"
"Course_Emerging_Topics_for_Business_Information_Systems","Understand new trends and innovative topics in information systems","K140,K212,S310,S313"
"Course_Emerging_Topics_for_Business_Information_Systems","Discuss potential of emerging information systems technologies","S4,S27,S65,S98,S161,S357"
"Course_Emerging_Topics_for_Business_Information_Systems","Apply knowledge of innovative topics to practical work","S17,S72,S98,S235,S357"
"Course_Emerging_Topics_for_Business_Information_Systems","Conduct research on assigned topic and prepare presentations or workshops","S73,S74,S75,S78,S166,S202,S345,S369,S434"
"Course_Emerging_Topics_for_Business_Information_Systems","Develop skills in acquiring and teaching knowledge","S26,S45,S66,S365,S369,S397,S405"
"Course_Emerging_Topics_for_Business_Information_Systems","Understand the relevance of emerging topics to business information systems","K53,K54,K55,K56,S16,S24,S232"
"Course_Innovation_in_the_Digital_Age","Understand entrepreneurship from an early stage, focusing on problem/solution fit","S16,S17,S85,S98,S206,S232,K55,K56,K57,K120"
"Course_Innovation_in_the_Digital_Age","Understand the relevance of innovation processes through Design Thinking and Design Sprint","S43,S145,S235,K7,K120,K212"
"Course_Innovation_in_the_Digital_Age","Apply innovation processes, innovative thinking, and entrepreneurial skills in a real environment","S27,S98,S145,S161,S235,K120,K212"
"Course_Innovation_in_the_Digital_Age","Apply innovation techniques from Design Thinking and Design Sprint in presenting innovative ideas","S62,S64,S65,S202,K120,K409"
"Course_Innovation_in_the_Digital_Age","Assess the fitting between a problem and a solution","S4,S17,S98,S206,K55,K56,K57"
"Course_Innovation_in_the_Digital_Age","Assess the economic viability and technology feasibility of a solution","S188,S214,S261,S322,K52,K53,K54,K221"
"Course_Innovation_in_the_Digital_Age","Present and discuss problems and business ideas in classroom activities","S62,S64,S65,S202,K409"
"Course_Innovation_in_the_Digital_Age","Present an innovative idea in a pitching session with few minutes","S62,S64,S65,S202,K409"
"Course_Innovation_in_the_Digital_Age","Learn how to investigate existing human problems/needs","S16,S17,S206,S209,K55,K56,K57"
"Course_Innovation_in_the_Digital_Age","Learn how to investigate new business ideas","S98,S145,S235,K52,K53,K54,K212"
"Course_Innovation_in_the_Digital_Age","Refine communication and pitching skills","S62,S64,S65,S202,K409"
"Course_International_Field_Trip","Understand other countries' economic, social, political and cultural systems","K24,K56,K58,K85,K91,K212,K237,K293,K335,K384"
"Course_International_Field_Trip","Analyze and determine value propositions and business models consistent with cultural and economic environment","S16,S17,S24,S27,S53,S81,S262,S322,K52,K53,K54,K55,K56,K57,K58"
"Course_International_Field_Trip","Make decisions on how to start a business","S27,S53,S81,S262,S322,K52,K53,K54,K55,K56,K57,K58"
"Course_International_Field_Trip","Understand commonalities and differences in ways of doing business","S27,S53,S81,K52,K53,K54,K55,K56,K57,K58"
"Course_International_Field_Trip","Discuss with managers and academics","S64,S65,S202,S391,K85"
"Course_International_Field_Trip","Collect and synthesize information for research objectives","S73,S74,S75,S76,S77,S78,S325,S339,S395,S396,K330,K346,K347"
"Course_International_Field_Trip","Write reports on related topics","S166,S372,S453,K134"
"Course_International_Field_Trip","Reflect on differences in realities of different countries","S3,S4,S24,S98,S161,K24,K56,K58,K91,K293"
"Course_IT_Governance_Risk_and_Compliance","Understand challenges and opportunities related to IT regulations in enterprises","K58,K173,K189,K209,K218,K333,S67,S172,S174,S220,S227,S228"
"Course_IT_Governance_Risk_and_Compliance","Analyze compliance, governance and risk management requirements","K25,K88,K152,K193,K194,S8,S11,S12,S39,S207,S228,S337,S338"
"Course_IT_Governance_Risk_and_Compliance","Understand the relationship between IT governance, risk, compliance, and audit","K88,K193,K194,K209,S189,S220,S227,S228,S336"
"Course_IT_Governance_Risk_and_Compliance","Understand privacy requirements focusing on EU GDPR","K152,S173,S174,S177,S178,S386"
"Course_IT_Governance_Risk_and_Compliance","Apply reference models like COBIT 2019 to specific use cases","K88,S16,S17,S72,S232,S357"
"Course_IT_Governance_Risk_and_Compliance","Perform systematic gap analysis and audits using software solutions","K25,K88,S189,S323,S336,S382"
"Course_IT_Governance_Risk_and_Compliance","Propose necessary activities or controls based on gap analysis","S8,S11,S12,S98,S161,S227,S228"
"Course_IT_Governance_Risk_and_Compliance","Prepare and present on IT governance, compliance, and risk management topics","S62,S202,S372,S454"
"Course_IT_Governance_Risk_and_Compliance","Develop independent learning and critical thinking skills","S4,S295,S310,S395"
"Course_Knowledge_Processing_and_Decision_Making","Understand how knowledge can be explicitly acquired and represented in formal knowledge representation formalisms","K97,K98,K105,K118,K165,K204,K208,K269,K305,K306"
"Course_Knowledge_Processing_and_Decision_Making","Assess which kind of knowledge representation and reasoning is adequate for a given problem","S4,S17,S54,S88,S261,S325,S326,S327,K12,K20,K97,K101,K102,K117,K118,K244,K269"
"Course_Knowledge_Processing_and_Decision_Making","Develop appropriate knowledge-based systems","S146,S159,S235,S357,K80,K117,K118,K244,K269,K360,K361,K364,K365"
"Course_Knowledge_Processing_and_Decision_Making","Evaluate the advantages and costs of knowledge-based systems","S72,S188,S322,S361,K52,K53,K54,K55,K56,K57,K58"
"Course_Knowledge_Processing_and_Decision_Making","Apply knowledge representation techniques to real-world business problems","S16,S17,S85,S98,S161,S232,S357,K55,K56,K57,K58,K97,K101,K105"
"Course_Knowledge_Processing_and_Decision_Making","Analyze complex problems and decide on appropriate knowledge representation formalisms","S4,S17,S98,S161,S261,K12,K97,K101,K102,K117,K118,K244,K269"
"Course_Knowledge_Processing_and_Decision_Making","Demonstrate problem-solving using knowledge representation and reasoning techniques","S98,S161,S357,K12,K20,K97,K101,K117,K118,K244,K269"
"Course_Knowledge_Processing_and_Decision_Making","Understand and apply various forms of knowledge representation and inference techniques","K12,K20,K97,K101,K102,K117,K118,K244,K269,K305,K306"
"Course_Knowledge_Processing_and_Decision_Making","Comprehend and utilize different inference principles including time/space and non-monotonic reasoning","K12,K20,K117,K118,K244,K269,K305,K306"
"Course_Knowledge_Processing_and_Decision_Making","Understand and apply decision logic and the OMG Decision Model and Notation Rules","K55,K56,K57,K58,K117,K118"
"Course_Knowledge_Processing_and_Decision_Making","Grasp concepts of Horn logic, forward and backward chaining, and data-driven and goal-oriented approaches","K12,K117,K118,K244,K269"
"Course_Knowledge_Processing_and_Decision_Making","Understand object-centered systems and description logics","K12,K117,K118,K244,K269"
"Course_Knowledge_Processing_and_Decision_Making","Comprehend and work with knowledge graphs","K97,K101,K102,K117,K118,K244,K269"
"Course_Knowledge_Processing_and_Decision_Making","Understand uncertainty and non-monotonic reasoning in knowledge representation","K12,K20,K117,K118,K244,K269"
