index,title,description,uri
S13,align software with system architectures,Put system design and technical specifications in line with software architecture in order to ensure the integration and interoperability between components of the system.,http://data.europa.eu/esco/skill/2857540c-180b-4208-9127-e94a01871966
S14,analyse big data,"Collect and evaluate numerical data in large quantities, especially for the purpose of identifying patterns between the data.",http://data.europa.eu/esco/skill/47a49cd6-097d-457a-9f7b-c290c14930d5
S15,analyse blockchain use cases,"Analyse blockchain use cases in different sectors against their needs in terms of blockchain technology and architecture. Particularly, key blockchain use cases in Business, Finance and Banking such as International Payments, Peer-to-Peer Transactions, Capital Markets, Trade Finance or Regulatory Finance and Audit. ",http://data.europa.eu/esco/skill/41f2f9bf-1440-49f7-bbb1-2c3c3ea93f76
S16,analyse business processes,Study the contribution of the work processes to the business goals and monitor their efficiency and productivity.,http://data.europa.eu/esco/skill/56042303-972b-41be-9310-58467599ff7e
S17,analyse business requirements,Study clients' needs and expectations for a product or service in order to identify and resolve inconsistencies and possible disagreements of involved stakeholders.,http://data.europa.eu/esco/skill/b04f377b-ee80-4b38-aca1-19d266a23b17
S18,analyse decentralised applications,"Analyse decentralized applications for their specific performance requirements in terms of key functions and properties such as identify management, access control, data security, transparency, performance, scalability, and maintainability.",http://data.europa.eu/esco/skill/0e5affa0-705e-4b19-94e8-19e902e0287d
S19,analyse ICT system,"Analyse the functioning and performance of information systems in order to define their goals, architecture and services and set procedures and operations to meet end users requirements.",http://data.europa.eu/esco/skill/7adb8473-bcc6-4ff8-9850-76d945d40092
S20,analyse network bandwidth requirements,Study the requirements on the transmission capacity of an ICT network or other telecommunication system.,http://data.europa.eu/esco/skill/da042121-959d-451b-b4d0-3bbf07c1bc67
S21,analyse network configuration and performance,"Analyse essential network data (e.g., router configuration files, routing protocols), network traffic capacity and performance characteristics of ICT networks, such as wide area network and local area network, that connect computers using cable or wireless connections and allow them to exchange data.",http://data.europa.eu/esco/skill/545c80e8-7ab2-42fe-af64-242211e94709
S22,analyse pipeline database information,"Retrieve and analyse different types of information extracted from the databases of pipelines companies. Analyse information such as risks, project management KPIs (key performance indicators), goods transportation times, and document back-up processes.",http://data.europa.eu/esco/skill/484d048c-a5d1-46a5-b57f-45b69c0ac552
S23,analyse software specifications,"Assess the specifications of a software product or system to be developed by identifying functional and non-functional requirements, constraints and possible sets of use cases which illustrate interactions between the software and its users.",http://data.europa.eu/esco/skill/f28617ad-afdd-4041-814c-216153a38998
S24,analyse the context of an organisation,Study the external and internal environment of an organisation by identifying its strengths and weaknesses in order to provide a base for company strategies and further planning.,http://data.europa.eu/esco/skill/9714735d-6f60-440b-bdbc-aaf45ebcbe78
S25,apply 3D imaging techniques,"Implement a variety of techniques such as digital sculpting, curve modelling and 3D scanning to create, edit, preserve and use 3D images, such as point clouds, 3D vector graphic and 3D surface shapes.",http://data.europa.eu/esco/skill/1859883d-c047-4fe1-8e74-7bb4385d6ad2
S26,apply blended learning,"Be familiar with blended learning tools by combining traditional face-to-face and online learning, using digital tools, online technologies,  and e-learning methods.",http://data.europa.eu/esco/skill/b363bb5f-2c79-40af-94da-33e06f9dee9f
S27,apply business acumen,Take appropriate actions in a business environment in order to maximise possible outcome from each situation.,http://data.europa.eu/esco/skill/4ddf5204-95f5-4be2-ad35-571e2f493ae5
S28,apply change management,Manage development within an organisation by anticipating changes and making managerial decisions to ensure that the members involved are as less disturbed as possible.,http://data.europa.eu/esco/skill/3c03ee71-4a23-448f-b79e-81fd75d27dca
S29,apply company policies,Apply the principles and rules that govern the activities and processes of an organisation.,http://data.europa.eu/esco/skill/0a43729f-2a79-4dae-9faa-95520daae79f
S30,apply conflict management,"Take ownership of the handling of all complaints and disputes showing empathy and understanding to achieve resolution. Be fully aware of all Social Responsibility protocols and procedures, and be able to deal with a problematic gambling situation in a professional manner with maturity and empathy.",http://data.europa.eu/esco/skill/0ee94af1-b445-4973-9c3f-459fab250342
S31,apply control process statistical methods,Apply statistical methods from Design of Experiments (DOE) and Statistical Process Control (SPC) in order to control manufacturing processes.,http://data.europa.eu/esco/skill/ee8fee1a-75c1-43fb-b08d-779929f99249
S32,apply for research funding,Identify key relevant funding sources and prepare research grant application in order to obtain funds and grants. Write research proposals.,http://data.europa.eu/esco/skill/5f0082ab-2131-49b5-94d6-a1821daf57d6
S33,apply ICT system usage policies,Follow written and ethical laws and policies regarding proper ICT system usage and administration.,http://data.europa.eu/esco/skill/9707091a-323b-4240-877a-5999a19286f0
S34,apply ICT systems theory,Implement principles of ICT systems theory in order to explain and document system characteristics that can be applied universally to other systems,http://data.europa.eu/esco/skill/cbe2c304-1e7d-489a-97d9-a7d3e37a9db6
S35,apply information security policies,"Implement policies, methods and regulations for data and information security in order to respect confidentiality, integrity and availability principles.",http://data.europa.eu/esco/skill/86d2e2ea-1ba2-4aa6-b465-8a1f9abc81b8
S36,apply operations for an ITIL-based environment,Properly operate ITIL (Information Technology Infrastructure Library) based service desk procedures.,http://data.europa.eu/esco/skill/d12e9d68-84c5-444e-aa98-d36533bf03f6
S37,apply research ethics and scientific integrity principles in research activities,"Apply fundamental ethical principles and legislation to scientific research, including issues of research integrity. Perform, review, or report research avoiding misconducts such as fabrication, falsification, and plagiarism.",http://data.europa.eu/esco/skill/833289fa-3646-4010-9d9e-93ba8c9ef2d8
S38,apply reverse engineering,"Use techniques to extract information or disassemble an ICT component, software or system in order to analyse, correct and reassemble or reproduce it.",http://data.europa.eu/esco/skill/a7a14be2-78b5-4b4a-ba77-2658285e2756
S39,apply risk management processes,"Identify risks and apply a risk management process, e.g. hazard analysis and critical control points (HACCP).",http://data.europa.eu/esco/skill/96550830-539b-4746-96aa-92aa4959945d
S40,apply social media marketing,"Employ website traffic of social media such as Facebook and Twitter to generate attention and participation of existing and potential customers through discussion forums, web logs, microblogging and social communities for gaining a quick overview or insight into topics and opinions in the social web and handle inbound leads or inquiries.",http://data.europa.eu/esco/skill/64e09849-a7db-4d6b-a932-66264420eb97
S41,apply statistical analysis techniques,"Use models (descriptive or inferential statistics) and techniques (data mining or machine learning) for statistical analysis and ICT tools to analyse data, uncover correlations and forecast trends.",http://data.europa.eu/esco/skill/382c11ed-20d5-4ae7-b60e-15fec527fa6c
S42,apply system organisational policies,"Implement internal policies related to the development, internal and external usage of technological systems, such as software systems, network systems and telecommunications systems, in order to achieve a set of goals and targets regarding the efficient operations and growth of an organisation.",http://data.europa.eu/esco/skill/07e47d58-dd0e-4302-9e68-70a188e89065
S43,apply systemic design thinking,"Apply the process of combining systems thinking methodologies with human-centred design in order to solve complex societal challenges in an innovative and sustainable way. This is most often applied in social innovation practices that focus less on designing stand-alone products and services to designing complex service systems, organizations or policies that bring value to the society as a whole.",http://data.europa.eu/esco/skill/4d30ad07-9e39-4899-81dd-02b280f162f9
S44,apply technical communication skills,"Explain technical details to non-technical customers, stakeholders, or any other interested parties in a clear and concise manner.",http://data.europa.eu/esco/skill/c32ad607-0c4d-4e34-b73f-668298f7bf13
S45,apply tools for content development,"Use specialised content development tools such as content and terminology management systems, translation memory systems, language checker and editors to generate, compile and transform content according to specified standards.",http://data.europa.eu/esco/skill/37a438f3-e28c-4e32-83c5-299f047c1dc9
S46,assess ICT knowledge,Evaluate the implicit mastery of skilled experts in an ICT system to make it explicit for further analysis and usage.,http://data.europa.eu/esco/skill/0dc7aa1b-b5af-4f4b-81ce-ee22ed8b6926
S47,assess users' interaction with ICT applications,"Evaluate how users interact with ICT applications in order to analyse their behaviour, draw conclusions (for instance about their motives, expectations and goals) and improve applications' functionalities.",http://data.europa.eu/esco/skill/465e7c78-cd26-4503-a5ca-40009e807705
S48,assist multimedia operator,Take over tasks from the multimedia operator as required. Call cues for the multimedia operator or operate the multimedia equipment yourself.,http://data.europa.eu/esco/skill/af8ca5cf-7fd1-4275-a886-e951c335d497
S49,attend to detail in preparation for audits,"Ensure constant compliance with standards and requirements, such as keeping certifications up to date and monitoring activities to ensure correct procedures are followed, so that audits can occur smoothly and no negative aspects can be identified.",http://data.europa.eu/esco/skill/26baf34d-6721-4bac-b7eb-add0bc566a82
S50,attend to ICT systems quality,"Ensure correct operations which comply fully with specific needs and outcomes in terms of the development, integration, security and overall management of ICT systems.",http://data.europa.eu/esco/skill/7f0b1a66-ebaf-4c8a-b606-4c1844eb692e
S51,automate cloud tasks,Automate manual or repeatable processes to minimize management overhead. Evaluate cloud automation alternatives for network deployments and tool-based alternatives for network operations and management. ,http://data.europa.eu/esco/skill/ce8ae6ca-61d8-4174-b457-641de96cbff4
S52,balance database resources,"Stabilise the workload and resources of a database, by controlling the demand of transactions, allocating disk spaces and ensuring reliability of the servers in order to optimise cost and risk ratio.",http://data.europa.eu/esco/skill/9ba8fd27-275d-4bad-8c48-f668aa99a578
S53,build business relationships,"Establish a positive, long-term relationship between organisations and interested third parties such as suppliers, distributors, shareholders and other stakeholders in order to inform them of the organisation and its objectives.",http://data.europa.eu/esco/skill/dc72ad0a-c5dc-4abd-bc0d-ca43e82162e1
S54,build predictive models,Create models to predict the probability of an outcome.,http://data.europa.eu/esco/skill/38d49d88-9069-467b-b29e-3cae739bdd4d
S55,build recommender systems,Construct recommendation systems based on large data sets using programming languages or computer tools to create a subclass of information filtering system that seeks to predict the rating or preference a user gives to an item.,http://data.europa.eu/esco/skill/505e4ef3-7ce4-437d-b7b4-5c608f71c258
S56,carry out statistical forecasts,"Undertake a systematic statistical examination of data representing past observed behaviour of the system to be forecast, including observations of useful predictors outside the system.",http://data.europa.eu/esco/skill/be727774-46d7-43d7-aee9-1a51b5cd8c71
S57,coach employees,"Maintain and improve employees' performance by coaching individuals or groups how to optimise specific methods, skills or abilities, using adapted coaching styles and methods. Tutor newly recruited employees and assist them in the learning of new business systems.",http://data.europa.eu/esco/skill/0cc9c234-f817-4f4c-908a-4d28fe3b0f4a
S58,collaborate with engineers,Work closely and communicate with engineers on designs or new products.,http://data.europa.eu/esco/skill/94b2c46e-6338-4a1d-950a-d44eef018c53
S59,collect customer feedback on applications,Gather a response and analyse data from customers to identify requests or problems in order to improve applications and overall customer satisfaction.,http://data.europa.eu/esco/skill/71746a0b-e58d-4dc4-ad03-bd84082eae21
S60,collect cyber defence data,"Collect data for cyber defence using various data collection tools. Data may be gathered from a number of internal or external sources such as online trade records, DNS request logs, email servers' logs, digital communications packet capturing, deep web resources, etc.",http://data.europa.eu/esco/skill/fcbb3a90-cdde-49ff-9ecc-8e2c0a6dfca2
S61,collect ICT data,Gather data by designing and applying search and sampling methods.,http://data.europa.eu/esco/skill/79e29b8b-47d1-470d-b7b1-32506bfe7d9a
S62,communicate analytical insights,"Obtain analytical insights and share them with relevant teams, in order to enable them to optimise supply chain (SC) operations and planning.",http://data.europa.eu/esco/skill/f263da7f-0708-42c2-b1a9-39083416f632
S63,communicate with a non-scientific audience,"Communicate about scientific findings to a non-scientific audience, including the general public. Tailor the communication of scientific concepts, debates, findings to the audience, using a variety of methods for different target groups, including visual presentations.
",http://data.europa.eu/esco/skill/ff64e9fc-36dd-4035-872a-83aa41dc1ad9
S64,communicate with customers,"Respond to and communicate with customers in the most efficient and appropriate manner to enable them to access the desired products or services, or any other help they may require.",http://data.europa.eu/esco/skill/0da516ee-e70e-4384-be13-f5ff80be8127
S65,communicate with stakeholders,"Facilitate communication between organisations and interested third parties such as suppliers, distributors, shareholders and other stakeholders in order to inform them of the organisation and its objectives.",http://data.europa.eu/esco/skill/477173ca-5fc2-406b-9122-95d92811f284
S66,compile content,"Retrieve, select and organise content from specific sources, according to the requirements of the output media such as printed materials, online applications, platforms, websites and video.",http://data.europa.eu/esco/skill/96a67da1-881f-4d09-927e-ac75fcff4d93
S67,comply with legal regulations,"Ensure you are properly informed of the legal regulations that govern a specific activity and adhere to its rules, policies and laws.",http://data.europa.eu/esco/skill/3d3ee5c3-4286-457f-9f76-1704011f7e11
S68,compose description for web elements,"Create texts to convey the message of a web element, such as images or frames, even in cases when it cannot be displayed to the user.",http://data.europa.eu/esco/skill/e8d9ce55-7bc3-4f09-8412-0a393d4b5b96
S69,compose digital game story,Create a digital game story by writing out a detailed plot and storyboard with descriptions and gameplay objectives.,http://data.europa.eu/esco/skill/208b41bd-3b61-4439-b3ca-d39628dd7fe3
S70,conduct content quality assurance,"Carry out validation of content by reviewing it according to formal and functional quality, usability and applicable standards.",http://data.europa.eu/esco/skill/29154735-107a-4daa-a050-537f7707f34e
S71,conduct ICT code review,Examine and review systematically computer source code to identify errors in any stage of development and to improve the overall software quality.,http://data.europa.eu/esco/skill/9d1b08b3-ba1e-41f6-a466-1ac1e62eb5f0
S72,conduct impact evaluation of ICT processes on business,Evaluate the tangible consequences of the implementation of new ICT systems and functions on the current business structure and organisational procedures.,http://data.europa.eu/esco/skill/17c9a790-5664-4673-8237-c4cf3c5a8da5
S73,conduct literature research,Conduct a comprehensive and systematic research of information and publications on a specific literature topic. Present a comparative evaluative literature summary.,http://data.europa.eu/esco/skill/0d282d6e-8cb9-4339-8e7d-cfafed96b5ed
S74,conduct qualitative research,"Gather relevant information by applying systematic methods, such as interviews, focus groups, text analysis, observations and case studies.",http://data.europa.eu/esco/skill/fa465db3-56e8-4b5d-a781-e2a313a4ed2d
S75,conduct quantitative research,"Execute a systematic empirical investigation of observable phenomena via statistical, mathematical or computational techniques.",http://data.europa.eu/esco/skill/8316979b-df5a-4dc7-98ef-61ec6a10df84
S76,conduct research across disciplines,"Work and use research findings and data across disciplinary and/or functional boundaries.
",http://data.europa.eu/esco/skill/f7b071bf-4882-4cfc-ae0a-7e0e0ab94c61
S77,conduct research interview,"Use professional researching and interviewing methods and techniques to gather relevant data, facts or information, to gain new insights and to fully comprehend the message of the interviewee.",http://data.europa.eu/esco/skill/896563fc-6255-4419-89c2-ffed30159ad6
S78,conduct scholarly research,Plan scholarly research by formulating the research question and conducting empirical or literature research in order to investigate the truth of the research question.,http://data.europa.eu/esco/skill/485cdafb-3c7f-4104-ab1c-773e6131a39a
S79,conduct search engine optimisation,"Execute optimal marketing research and strategies on search engine processes, also known as search engine marketing (SEM), in order to increase online traffic and website exposure.",http://data.europa.eu/esco/skill/a0bf9b9d-e53f-418c-a839-5d99eff718fe
S80,configure ICT system,Set up and customise an ICT system to meet requirements during initial implementation as well as when new business needs arise.,http://data.europa.eu/esco/skill/b3c8eada-b0a8-4b61-968b-b354fbfb6874
S81,consult with business clients,"Communicate with clients of a business or business project in order to introduce new ideas, obtain feedback, and find solutions to problems.",http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d
S82,coordinate engineering teams,"Plan, coordinate and supervise engineering activities together with engineers and engineering technicians. Ensure clear and effective channels of communication across all departments. Make sure the team is aware of the standards and objectives of the research and development.",http://data.europa.eu/esco/skill/7af6e9e8-1e11-4c0b-b7c6-ac96bbbbc674
S83,coordinate technological activities,Give instructions to colleagues and other cooperating parties in order to reach the desired outcome of a technological project or achieve set goals within an organisation dealing with technology.,http://data.europa.eu/esco/skill/af607e5e-4ba1-4e5f-a2a6-dc05806567c7
S84,cope with stress,"Handle challenges, disruption and change and recover from set-backs and adversity.",http://data.europa.eu/esco/skill/7a147904-22b3-498a-b4d9-7bceeb86b45d
S85,create business process models,"Develop formal and informal descriptions of the business processes and the organisational structure by using business process models, notations and tools.",http://data.europa.eu/esco/skill/6a7792a9-888a-46ad-afc9-2c0d94c8fde6
S86,create concept of digital game,"Develop and communicate every aspect of overall game vision. Communicate and collaborate with technical crew, artistic and design teams to implement the game vision.",http://data.europa.eu/esco/skill/3140d979-2d6a-4c10-add9-f7091103829f
S87,create content title,"Come up with an appealing title that draws people's attention to the content of your article, story or publication.",http://data.europa.eu/esco/skill/df996a98-202f-4a9b-b088-38c8db03ef1b
S88,create data models,"Use specific techniques and methodologies to analyse the data requirements of an organisation's business processes in order to create models for these data, such as conceptual, logical and physical models. These models have a specific structure and format.",http://data.europa.eu/esco/skill/fbafa41f-cd05-4109-a649-8b44d306d779
S89,create data sets,Generate a collection of new or existing related data sets that are made up out of separate elements but can be manipulated as one unit.,http://data.europa.eu/esco/skill/906323f4-00c4-4c3b-ab5a-8af77be3456e
S90,create database diagrams,Develop the database design models and diagrams which establish the structure of a database by using modelling software tools to be implemented in further processes.,http://data.europa.eu/esco/skill/84f58e3d-8669-4d83-8c1d-5dd1e73a654f
S91,create flowchart diagram,Compose a diagram that illustrates systematic progress through a procedure or system using connecting lines and a set of symbols.,http://data.europa.eu/esco/skill/901105f8-3a08-453e-b1dc-23619e317fd3
S92,create game testing software,"Develop software to test and evaluate online and land-based gambling, betting and lottery games.",http://data.europa.eu/esco/skill/446d29ed-9eaa-4798-bb91-5f196651ad0a
S93,create incident reports,"Fill in an incident report after an accident has happened at the company or facility, such as an unusual event which caused an occupational injury to a worker.",http://data.europa.eu/esco/skill/24310a7b-5db1-4917-a705-4835630227ca
S94,create project specifications,"Define the workplan, duration, deliverables, resources and procedures a project has to follow to achieve its goals. Describe project goals, outcomes, results and implementation scenarios.",http://data.europa.eu/esco/skill/21fecc8a-392e-49ce-ac26-fb0696ccfead
S95,create prototype of user experience solutions,"Design and prepare mock-ups, prototypes and flows in order to test User Experience (UX) solutions or to collect feedback from users, customers, partners or stakeholders.",http://data.europa.eu/esco/skill/07dd856d-6141-48a7-a228-918f88494812
S96,create semantic trees,Create coherent lists and hierarchies of concepts and terms to ensure consistent indexing in knowledge organisation systems.,http://data.europa.eu/esco/skill/cb89a5c0-b5cb-4c62-8e7e-7714631b66b5
S97,create software design,Transpose a series of requirements into a clear and organised software design.,http://data.europa.eu/esco/skill/3bddfd7c-ab6d-40c2-883d-5e97fb7640ba
S98,create solutions to problems,"Solve problems which arise in planning, prioritising, organising, directing/facilitating action and evaluating performance. Use systematic processes of collecting, analysing, and synthesising information to evaluate current practice and generate new understandings about practice.",http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041
S99,create website wireframe,"Develop an image or set of images that display the functional elements of a website or page, typically used for planning a website's functionality and structure.",http://data.europa.eu/esco/skill/f0f5bb34-71df-4715-9c9e-03567b76ec8f
S100,creatively use digital technologies,Use digital tools and technologies to create knowledge and to innovate processes and products. Engage individually and collectively in cognitive processing to understand and resolve conceptual problems and problem situations in digital environments.,http://data.europa.eu/esco/skill/1a4cc54f-1e53-442b-a6d2-1682dc8ef8f9
S101,debug software,"Repair computer code by analysing testing results, locating the defects causing the software to output an incorrect or unexpected result and remove these faults.",http://data.europa.eu/esco/skill/2522a6ce-3202-4ac8-9f5b-b9cb5a3a83a1
S102,define data quality criteria,"Specify the criteria by which data quality is measured for business purposes, such as inconsistencies, incompleteness, usability for purpose and accuracy.",http://data.europa.eu/esco/skill/54c9c155-9293-4329-8ed2-2e76e8b519d4
S103,define database physical structure,"Specify the physical configuration of database files on a given media. This consists of in-detail specifications of indexing options, data types and data elements placed in the data dictionary.",http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad
S104,define firewall rules,Specify rules to govern a set of components aiming to limit access between groups of networks or a particular network and the internet.,http://data.europa.eu/esco/skill/054f26ab-cfdc-4077-883c-1c4c9e9b310a
S105,define ICT network design policies,"Specify policies, principles, rules, processes and criteria for the design, planning and realisation of ICT networks.",http://data.europa.eu/esco/skill/bb562019-5222-45db-a16c-730edbb1d27c
S106,define integration strategy,"Specify strategies for system integration, incorporating the time schedule, the processes required to combine components into subsystems and systems, the means on how components will interface as well as the risks associated with the integration.",http://data.europa.eu/esco/skill/a4a882a1-0263-4dd2-b29a-f0028cac2393
S107,define organisational standards,"Write, implement and foster the internal standards of the company as part of the business plans for the operations and levels of performance that the company intends to achieve.",http://data.europa.eu/esco/skill/d53b04fb-1bbb-4a25-92f8-8ceb308d276f
S108,define quality standards,"Define, in collaboration with managers and quality experts, a set of quality standards to ensure compliance with regulations and help achieve customers' requirements.",http://data.europa.eu/esco/skill/5d9e766b-8f17-4e17-bfab-3bb0e0719791
S109,define roadmap for blockchain in applications,"Define and follow a roadmap for the introduction of blockchain in a particular application. Identify the key actions and roles required, as well as the essential milestones and deliverables to achieve. ",http://data.europa.eu/esco/skill/8300443c-c793-4102-bff5-aa917a0cb39f
S110,define security policies,"Design and execute a written set of rules and policies that have the aim of securing an organisation concerning constraints on behaviour between stakeholders, protective mechanical constraints and data-access constraints.",http://data.europa.eu/esco/skill/37bc4dc0-1233-4008-98db-1116d0c1cfcc
S111,define software architecture,"Create and document the structure of software products including components, coupling and interfaces. Ensure feasibility, functionality and compatibility with existing platforms.",http://data.europa.eu/esco/skill/f7e2eb04-3e50-4561-bce1-7e51a1fec308
S112,define technical requirements,"Specify technical properties of goods, materials, methods, processes, services, systems, software and functionalities by identifying and responding to the particular needs that are to be satisfied according to customer requirements.",http://data.europa.eu/esco/skill/d9e5349e-8791-49c2-8ba4-839fdd1606c2
S113,define technology strategy,"Create an overall plan of objectives, practices, principles and tactics related to the use of technologies within an organisation and describe the means to reach the objectives, taking into account analyses and relevant regulations.",http://data.europa.eu/esco/skill/248894d1-42dc-474f-af6e-2da52ac0c679
S114,deliver visual presentation of data,Create visual representations of data such as charts or diagrams for easier understanding.,http://data.europa.eu/esco/skill/c3e36d05-8ae8-447f-bb2b-6f9409f85389
S115,demonstrate disciplinary expertise,"Demonstrate deep knowledge and complex understanding of a specific research area, including responsible research, research ethics and scientific integrity principles, privacy and GDPR requirements, related to research activities within a specific discipline.",http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db
S116,demonstrate functionality of video games,Demonstrate to customers the features and functionalities of video games.,http://data.europa.eu/esco/skill/b6843068-2dd3-43ea-9625-3aaffe9f0112
S117,deploy cloud resource,"Identify and execute steps required to provision cloud resources, such as networks, servers, storage, applications, GPUs, and services. Define the cloud global infrastructure and remediate deployment issues. ",http://data.europa.eu/esco/skill/6195c5f7-a4fb-425d-a3dd-c4467c4471a3
S118,deploy ICT systems,"Deliver and instalI computers or ICT systems, ensuring testing and preparation for use.",http://data.europa.eu/esco/skill/71c2f41e-14de-4b23-82ad-5dbcd54ba5b0
S119,design application interfaces,"Create and program application interfaces, their operations, inputs and outputs and underlying types.",http://data.europa.eu/esco/skill/b0096dc5-2e2d-4bc1-8172-05bf486c3968
S120,design cloud architecture,"Design a multi-tier cloud architecture solution, which tolerates faults and is fit for the workload and other business needs. Identify elastic and scalable computing solutions, select high-performing and scalable storage solutions, and choose high-performing database solutions. Identify cost-effective storage, computing, and database services in the cloud.",http://data.europa.eu/esco/skill/11430d93-c835-48ed-8e70-285fa69c9ae6
S121,design cloud networks,"Apply cloud networking concepts and implement connectivity services of cloud. Given customer requirements, define network architectures on cloud, propose optimized designs based on the evaluation of an existing implementation. Evaluate and optimize cost allocations given a network design, its cloud resources, and application data flow.",http://data.europa.eu/esco/skill/4da4587a-fd0b-4ca2-886c-c42a1562d432
S122,design component interfaces,Use methods and tools to design and program interfaces of software and system components.,http://data.europa.eu/esco/skill/f6868852-9bf6-4899-a5d6-5f9532fb877d
S123,design computer network,"Develop and plan ICT networks, such as wide area network and local area network, that connect computers using cable or wireless connections and allow them to exchange data and assess their capacity requirements.",http://data.europa.eu/esco/skill/2164e860-7f20-48bc-b98c-5d9f8a561550
S124,design database backup specifications,Specify procedures to be performed on databases which ensure the copying and archiving of data for possible restoration in case of a data loss event.,http://data.europa.eu/esco/skill/ab67fbfb-0ca7-4345-8bf6-af8f59480212
S125,design database in the cloud,"Apply design principles for an adaptive, elastic, automated, loosely coupled databases making use of cloud infrastructure. Aim to remove any single point of failure through distributed database design.",http://data.europa.eu/esco/skill/7e796b51-49d7-4e73-95af-2e7323763f15
S126,design database scheme,"Draft a database scheme by following the Relational Database Management System (RDBMS) rules in order to create a logically arranged group of objects such as tables, columns and processes.",http://data.europa.eu/esco/skill/6c08403c-a5bb-4868-b8c2-b7d039c0e511
S127,design digital call to action,"Appeal the audience in order to provoke their instant response. Use imperative verb forms in the message such as ""Visit us now!"".",http://data.europa.eu/esco/skill/5233e3f4-904a-4f68-9327-707f11d93374
S128,design enterprise architecture,"Analyse the business structure and provide a logical organisation of business processes and information infrastructure. Apply principles and practices which help organisations to realise their strategies, respond to disruptions and achieve their goals.",http://data.europa.eu/esco/skill/ee3c1d54-f46a-43c7-a0f9-0ba3648164d0
S129,design for organisational complexity,"Determine cross-account authentication and access strategy for complex organizations (for example, an organization with varying compliance requirements, multiple business units, and varying scalability requirements). Design networks and multi-account cloud environments for complex organizations. ",http://data.europa.eu/esco/skill/dfff95c6-9758-4c04-a228-7eaa88dec6cd
S130,design graphics,Apply a variety of visual techniques in order to design graphic material. Combine graphical elements to communicate concepts and ideas.,http://data.europa.eu/esco/skill/f058bf62-70d1-4f5e-be2a-8b26fac24a96
S131,design ICT hardware placement,Describe and plan how cables and related hardware items will be placed throughout the building.,http://data.europa.eu/esco/skill/3fb8b724-1d52-4d11-b8b8-1776f558d1f0
S132,design information system,"Define the architecture, composition, components, modules, interfaces and data for integrated information systems (hardware, software and network), based on system requirements and specifications.",http://data.europa.eu/esco/skill/a47d194d-0ffd-4aaa-b695-fbbe0255000e
S133,design interaction model,"Design and develop an interaction model. Design a multi-turn conversation, use built-in intents and slots, handle unexpected conversational requests or responses, design multi-modal skills using one or more service interfaces (for example, audio, video, and gadgets).",http://data.europa.eu/esco/skill/12274664-b642-4945-b88f-d7787dc3c9dd
