Individual Name,Course_Link,Course_Title,Course_Description,Course_Type,Course_Prerequisite,Course_Comment,Course_Competency_to_be_achieved,Course_Content,has_Course_as_Prerequisite
Course_Data_Governance_and_Information_Management,https://modulbeschreibungen.webapps.fhnw.ch/detail/24HS_9505092,Data Governance and Information Management,"Data constitute an asset for companies enabling the digitalization, data-driven
innovations and the use of new technologies like AI. They need to be carefully
managed to ensure compliance requirements, especially regarding data protection.
Adequate data governance enables even the emergence of new business models.
The module starts with some definitions (Define), followed by the usual concerns
dealing with data (Use), then the introdcution of new technologies (Transform and
Innovate) and at the end the use of Metaverse (Elaborate).",elective,,,"Knowledge and Understanding: Students understand ...
the value of data as an asset for a company
the challenges of a good data management for a company in terms of
improving existing products and services
the need of data governance to enable data-driven innovations and process
optimization
existing data regulations to be applied within com-panies
the importance of data to steer a company and to take business decisions
risks related to data protection
Focus: Alignment between data management practices and business priorities
Applying Knowledge: Students are able to ...
identify saving potentials by better managing data
insure compliance requirements
set up a data quality management program
make proposals to improve internal processes
improve service to customers with the digitalization
build new digital products and services
make proposals to transform business models
Focus: Identification of data-driven business opportunities, including risks and
regulation requirements
Making judgments: Students can ...
provide the necessary steps to have a good data management in place
give the necessary conditions to have a successful use of big data
assess the domain of use of coming data-driven technologies (AI, Block
chain)
Focus: use of Critical Success Factors for “good” data governance practices
Communication: Students can ...
show analytical skills to assess the use of data, to de-fine the necessary
conditions and to solve problems to be encountered
give insights in a specific business area about the best practices and critical
success factors to have a “good” data governance in place
Focus: Presenting the relevance of data management to the Management of a
Company","The 2 first lessons deal with Definitions about Data.
Then 6 lessons present the “ordinary” data management topics in companies.
The 3rd part deals with the transformation of organizations and innovation aspects
such as Digitalization or AI.
The final part is elaborating the future based on data universes.",
Course_Data_Science,https://modulbeschreibungen.webapps.fhnw.ch/detail/23HS_9364681,Data Science,"More and more companies are going to understand that insights out of their data are crucial for their business success. Some people say, data is the new oil in a digitalized economy.
But how do we get insights from data? How do we discover the knowledge hidden in data? For this purpose, many different techniques and algorithms were developed. This module explores the prominent representatives from the artificial intelligence and machine learning area - including prominently the very popular neural networks. We will understand how the algorithms work and how to adjust them - in order to be able to apply them in practice. We apply them on realistic data sets and will get knowledge about their strengths and weaknesses.
This module will include exercises in the programming language 'R'. It will be taught with a mixture of online and onsite lectures while onsite lectures are prefered.",elective,,"This modules will include exercises in the programming language 'R' which is claimed to be easier to learn and applied in statistics and data science. 
Links to other modules: Knowledge Processing and Decision Making: In that module it will be discussed how the extracted knowledge can be processed.This module focus on the knowledge acqusition via machine learning.
Business Intelligence (core): Business perspective of Data Science. This module focus the algorithms and techniques.","Knowledge and Understanding: Students ...

    learn how to extract knowledge out of data.
    They will understand the basic principles of selected machine learning algorithms applied by data scientists. Neural Networks will also be investigated.

Applying Knowledge and Understanding: Students ...

    will learn how to apply the discussed algorithms in a practical setting. They are able to design the data science process (problem solving) including the data preprocessing for real data (analytical skills).

Making Judgements: Students ...

    can apply, evaluate and interpret the discussed machine learning algorithms (descision support), in particular supervised and unsupervised learning. They can compare the results of different models for selected machine learning tasks such as classification or clustering.

Communications Skills: Students ...

Learning Skills: Students ...
","This module will include the following topics

    Data Preprocessing including Data Cleaning, Data Transformation and Data Discretization
    Overfitting/Underfitting, Resampling and Model Selection
    Supervised Learning including different forms of regression, classification and decision tree learner
    Unsupervised Learning including agglomerative and divisive clustering
    Artificial Neural Networks
    Feed forward networks with different optimisers and activation functions
    Other types of ANN including Convolution Networks, Recurrent Networks, Long Short- Term Memories (LSTM), and Kohonen Maps
    Reinforcement Learning
    Transfer Learning",
Course_Digitalization_of_Business_Processes,https://modulbeschreibungen.webapps.fhnw.ch/detail/23FS_9179933,Digitalization of Business Processes,"Digitalisation is reorganising entire industries, transforming business models and processes through the availability of digital data, the intelligent automation of work, the connectivity of things (internet of things) and value chains, and the creation of digital interfaces for users (user interfaces) and applications (application programming interfaces).
This module investigates how the digitalisation affects (business) information systems supporting business processes in an enterprise, and how cooperation and partnership among humans and technology can result in an adequate business process execution. This investigation will be realised by application, implementation and demonstration of real prototypical instantiations.",elective,Business Process Management is a prerequisite. Basic programming or scripting skills as taught in the premaster Information Systems.,"Links to other modules:
Business Process Management
Artificial Intelligence for Business Processes","Knowledge and Understanding: Students ...

    Recognize and explain how the digitalisation affects (business) information systems supporting business processes in an enterprise. [Focus: high | AoL: 1.2]Express and defend how cooperation and partnership among humans and technology can result in an adequate business process execution. [Focus: high | AoL: 1.4]Understand concepts of cyberphysical systems (CPSs). [Focus: medium | AoL: 3.2]

Applying Knowledge and Understanding: Students ...

    Design and implement workflows to automate business processes and decision tasks. [Focus: high | AoL: 1.2 | problemsolving, analytical skills]Compose and use existing APIs (application programming interfaces) to integrate microservices or automationservices for a structured and nonstructured part of a business process. [Focus: high | AoL: 1.2 | problemsolving, analytical skills]Design and integrate adequate user interfaces such as webforms. [Focus: medium | AoL: 3.2 | problemsolving, analytical skills]Prototype cyberphysical systems through a modelbased approach. [Focus: medium | AoL: 3.2 | problemsolving, analytical skills]

Making Judgements: Students ...

    Select adequate digital components such as a workflow system, APIs or user interfaces. [Focus: high | AoL: 1.2 | decision support]Select an adequate level of workflow automation. [Focus: high | AoL: 1.2 | decision support]

Communications Skills: Students ...

    Describe a prototype and the findings in a report. [Focus: low]Demonstrate and present the final results within a short presentation. [Focus: low]

Learning Skills: Students ...

    Identify knowledge need regarding required APIs or technical skills such as programming languages, frameworks or methods. [Focus: low]Schedule, plan and conduct a digitalisation project (group work) and the implementation of a prototype. [Focus: low]","Digitalisation of business processes
•Workflow management systems
•Digital Data and Decision Modelling (DMN for Process Automation)
•Design Thinking, Prototyping & Pitching for Process Digitalisation
•Agile Project Management for Process Digitalisation
•Process Digitalisation Cloud, APIs, and Platforms
•Low- vs. Pro- Code Approaches & Platforms
•Service Integration and Integration Software as a Service (iSaaS)
•Distributed Systems, Messaging and Streaming
•Error Handling in Digital Processes
•Conversational and Form- based Digital User Interfaces and PWA
•Cyber- physical Systems & BPMN
•Digital Twin & IoT
•Hyperautomation Foundation with Robotic Process Automation
•Process Mining and Analytics",Course_Business_Process_Management
Course_E-Business_and_Mobile_Business,https://modulbeschreibungen.webapps.fhnw.ch/detail/23FS_9120569,E-Business and Mobile Business,"E-Business and Mobile Business build the core pillars of digital transformation. The e-business perspective highlights the various impacts of inter-organisational information systems on strategies and value chains. The two views of e-commerce and e-procurement include topics like fulfillment services, personalization, multichannel, direct to consumer (D2C), digital platforms, catalogue-based e-procurement and B2B integration. Mobile business specifically addresses the growing significance of mobile commerce and mobile business ecosystems in the digital economy. It analyses the economic benefit and impact, e.g. of networks and augmented reality. Case studies show how the concepts and theory are applied in practical situations.",elective,,"Links to other modules: The module 'Alignment of Business and IT' would be a good preparation because e-business and mobile business are about aligning and supporting business goals, strategies, relations and processes with IT. The module 'Supply Chain Management' could be a useful continuation as SCM will be touched but not deepened in the E-Business and Mobile Business module.
The module provides some fundamental preparation for the master's theses format New Business.","Knowledge and Understanding: Students ...

    get an overview of the terminology of business software, ebusiness, digitalisation, mobile business, and business applications.
    learn how ebusiness and mobile applications support and change the way of doing business.
    gain knowledge of the kind and functioning of relationships between organisational requirements regarding ebusiness and mobile business and their technical support.

Applying Knowledge and Understanding: Students ...

    are able to align strategic and organizational goals with ebusiness and mobile applications and to identify their potential in the value chain. They apply theorie and concepts step by step in an exemplary case.

Making Judgements: Students ...

    a$nalyse and understand the trends in ebusiness and mobile business and their impact on business development.

Communications Skills: Students ...

    train their communication abilities with discussions and presentations.

Learning Skills: Students ...

    do online research on recent developments of specific topics. They learn using existing tutorials and templates about certain software applications to develop their individual solutions.","Overview: Significance of e- business and mobile business in the age of digital transformation, current developments in e- business and mobile- business and their impact on industries and organisations
•Management approach: Strategic e- business management, e- business systems in the value chain, taxonomy of business software terms and business applications, innovative business models based on e- business and mobile business
•E- commerce: Transaction phases, business models, payment systems (established systems, payment service providers), personalization (building and using customer profiles, recommender systems), multichannel commerce, direct to consumer (D2C), digital platforms
•E- procurement: Supplier relationship management, procurement portfolio, procurement processes and functions like e- sourcing and contract management, Purchase- to- Pay Process including e- purchasing and B2B integration
•Mobile Business: Global development and relevance, mobile e- business concepts, creating business value with mobile devices, mobile communication technology, with a focus topic on augmented reality (AR) exploring technical and commercial aspects",
Course_Emerging_Topics_for_Business_Information_Systems,https://modulbeschreibungen.webapps.fhnw.ch/detail/23FS_9329864,Emerging Topics for Business Information Systems,"This module provides the opportunity to learn about new trends in information systems.The Students familiarise themselves with innovative topics and discuss their potential. Concrete content may change, depending on recent developments. The module is offered by topic-based teaching.",elective,,,"Knowledge and Understanding: Students ...

    get introduced into six topics which are not taught in the MSC BIS so far. They are going to understand the knowledge background and will get first insights in innovative, probably disruptive areas.

Applying Knowledge and Understanding: Students ...

    For each topic the students will get some insight how to apply the topics in their practical work

Making Judgements: Students ...

Communications Skills: Students ...

    are involded actively in the teaching parts. For each topic a group of students will be associated. Every student will be associated to exactly one topic. Each member of the topic group will answer an individual research question provided by the topic supervisor. Based on the research question they may prepare workshops, discussions, and/or presentations held at the day when the topic is teached. This will also strengten their skills to acquire and to teach knowledge.

Learning Skills: Students ...",The six topics of this module are proposed on a yearly basis. The proposed topics are relevant to the discipline of business information systems and are hypes in both research and industry.,
Course_Innovation_in_the_Digital_Age,https://modulbeschreibungen.webapps.fhnw.ch/detail/23HS_9364966,Innovation in the Digital Age,"The Innovation of Digital Age is a project-based module that aims to conceive an innovative idea that has a significant impact on the business environment. The idea should lead to a business opportunity, create the basis for a new business model, or to developments with the potential of disrupting current business models.The Students are expected to collaborate and co-work in small groups for the creation of a user-centric, specific, innovative, and tangible solution. As such, the solution shall be framed into a prototype and tested with potential customers. This innovation process is supported by Design Thinking, which provides methodological support in the problem/solution fit. Hence, students will learn how to apply each phase of Design Thinking, stressing the problem space and the solution space. The Design Sprint method will be supplemented to support further the Define and Ideate phases. Students are also expected to conduct exhaustive research about the feasibility of the solution, i.e. its economic viability and technological realisability.
The main competencies that will be developed by the students in this course are the following:
1) Innovativeness, which is supported by the application of diverging and converging techniques that focus on the problem and solution spaces.
2) Communication skills, which are supported by both the frequent presentations and the collaboration and co-work in groups.
3) Systematic-methodical approach, which is supported by the application of the Design Thinking methodology and the Design Sprint method.",elective,,"Links to other modules: The module is open for all students, except for students who already did the Manager's Shadow Project - Disruption Innovation.","Knowledge and Understanding: Students ...

    Understand entrepreneurship from an early stage, by focusing on the problem/solution fit (focus: high).Understand the relevance of innovation processes through the Design Thinking and the Design Sprint (focus: high).

Applying Knowledge and Understanding: Students ...

    Apply innovation processes, innovative thinking, entrepreneurial knowledge, and skills in a real environment beyond classroom and office (focus: high).Apply innovation techniques from both Design Thinking and Design Sprint in the presentation of the innovative idea (focus: high).

Making Judgements: Students ...

    Assess the fitting between a problem and a solution (problemsolution fit) (focus: high).Assess the economic viability and technology feasibility of a solution (focus: high).

Communications Skills: Students ...

    Present and discuss problems and business ideas in classroom activities (focus: high).Be able to present an innovative idea in a pitching session with few minutes. (focus: high)

Learning Skills: Students ...

    Learn how to :investigate existing human problems/needs (focus: high),investigate new business ideas (focus: high), refine communication and pitching skills (focus: medium).",​The Innovation in the Digital Age module gives the opportunity to students to conceive and conceptualize a user- centric and innovative idea with a business impact. Techniques from the Design Thinking and the Design Sprint will be taught and additional input will be provided by industry or startup experts. Students are expected to implement the most appropriate techniques to the project work. The project work is a group work but can also be individual upon request. Students will be supported and supervised through coaching sessions by the lecturers. Students will also train communication skills by presenting the outcome of each phase of the Design Thinking methodology in class.,
Course_International_Field_Trip,https://modulbeschreibungen.webapps.fhnw.ch/detail/23HS_9452826,International Field Trip,"Field trips to Silicon Valley and South Africa open up opportunities for developing a global mindset. Understanding other countries’ economic, social, political and cultural systems and imprints is key. During the field trips the students have the opportunity to talk with managers of various companies and visit universities.The field trip to Silicon Valley has a special focus on innovation; the field trip to South Africa deals primarily with diversity.",elective,,"Links to other modules: The module is open for all students, except for students who already did a field trip during their Manager's Shadow Project.","Knowledge and Understanding: Students ...

    Understand other countries’ economic, social, political and cultural systems and imprints. During the field trip to Silicon Valley the students understand the differences in culture, investment and use of IT with respect to innovation. During the field trip in South Africa the students learn hwo to deal with people from different cultural background both as employees and customers and how to different types of economies in the country interact.

Applying Knowledge and Understanding: Students ...

    are able to reflect and on the differences in the realities of different countries.
    can analyse and determine value propositions and business models that are consistent with the cultural and economic business environment.

Making Judgements: Students ...

    are able to make decisions on how to start a business. The field trip to South Africa provides insights on how to lead people with different cultural background.
    understand commonalities and differences of the way of doing business. After the field trip to Silicon Valley

Communications Skills: Students ...

    Discuss with managers and academians.

Learning Skills: Students ...

    Make opportunities and collect information and combine them to a consolidated argumentation about a specific research objective.","​The field trip in Autumn Semester is to Silicon Valley. In 2020 it is organized as a virtual trip with online sessions with company managers.
•The module consists of
•a predeparture seminar about the country and companies to be visited
•company visits with the opportunity to talk with managers
•a de-briefing session after each company visit
•writing a report about a related topic",
Course_IT_Governance_Risk_and_Compliance,https://modulbeschreibungen.webapps.fhnw.ch/detail/23HS_9321258,"IT Governance, Risk and Compliance","To run a business efficiently requires a coordinated strategic and operational approach. Various standards, frameworks and so-called 'best practices' offer recommendations for action on a variety of topics and, not least, on dealing with regulatory requirements that have to be mapped in an entrepreneurial context.
The course focuses on strategic and operational methods and is organized in four interrelated themes - with a particular focus on the needs of digitization and information technology:
(1) Compliance in the context of specific industries and different company sizes.
(2) Risk identification, assessment and related actions.
(3) Governance as (top) management activity and monitoring duties .
(4) Audit as a control, coaching and monitoring duty.
An important and dedicated topic of the course is data privacy compliance; we discuss the new European Data Protection Regulation (GDPR), its impact on business processes and the required data management.
The practical part of this course will be the application of a selected software solution for the operationalization and auditing of Internal Control Systems (ICS). Using this software, participants can select and compile reference models and standards and schedule and execute related audits.",elective,Core module Business Process Management,"The module 'Cyber Security and Resilience' is a perfect complement to the contents of this course.
Links to other modules: Business Process Management","Knowledge and Understanding: Students ...

    High: knowledge about the challenges and opportunities facing decision makers in (large) enterprises with ITrelated regulations and the transformation in decisions, at least in processes and activities (Problemsolving competence). Understanding (analytical skills) about the rapidly increasing requirements in terms of compliance, governance and risk management (based on practical cases and experience). Good understanding about the relationship between (IT) governance, risk and compliance as well as the role of (IT) audit . Privacy requirements as a special expertise focused on the EU GDPR.

Applying Knowledge and Understanding: Students ...

    High: application of certain areas of a selected reference model (e.g. COBIT 2019) to a selected company/ use case (decisionmaking ability); performing a systematic gap analysis/audit with associated reports (using a software solution) (analytical skills).

Making Judgements: Students ...

    ability to propose necessary activities or controls based on a systematic and welldocumented gap analysis/audit (resultsoriented action).

Communications Skills: Students ...

    ability to prepare and present short presentations and write a report about topics in the field of IT governance, compliance and/or risk management, inclusive an assessment of consequences and/or value proposition tradeoff (communication skills).

Learning Skills: Students ...

    learn and work independently, recognize gaps in their knowledge and fill these gaps independently. They are able to reflect work resp. thought processes, and develop possible courses of action. In addition, they are able to reflect and challenge personal and external judgments and develop these with regard to the assignment.","The course starts by showing and discussing which current regulatory requirements are relevant to (large) companies and how they can be systematically translated into an entrepreneurial context.
•We discuss the approaches of (regulatory) audits and quality assurance assessments. In addition, we analyse well- established 'tools' (e.g. COBIT 2019, ISO 38500, 31000, 20000 (ITIL)) and their benefits in different settings. We work with a dedicated software solution to learn and analyze the application and combination of different reference models. Practically, we audit the effectiveness of 'internal controls' in selected companies.
•During the classroom sessions, there is the possibility to discuss with invited practitioners and to benefit from their experiences.",Course_Business_Process_Management
Course_Knowledge_Processing_and_Decision_Making,https://modulbeschreibungen.webapps.fhnw.ch/detail/23FS_9179940,Knowledge Processing and Decision Making,"Knowledge-Intensive Processes are more unstructured processes with a lot of involvements of users with their experience. Users need experience and knowledge at different levels for their work and decision making, e.g. automatically derive and suggest possible solutions to the current problem. Supporting such tasks requires modelling and enacting several different forms of knowledge. In Artificial Intelligence several representation formalismen including rules and fuzzy logic are developed. The advantage of these formalism is that the knowledge itself can be formally represented, i.e. they allow automated reasoning in order to support the human being.
At the same time a lot of knowledge is hidden in the data source and is waiting for being extracted. This knowledge can also be used to support users in their knowledge-intensive tasks.
After completion of this module, the participants will be able to assess which kind of knowledge representation and reasoning is adequate and are able to develop appropriate knowledge-based systems. They can value the advantages of knowledge-based systems with respect to their costs.",elective,,Links to other modules: There will be a new module focussing machine learning and data science. Therefore this module focus the explicit knowledge representation.,"Knowledge and Understanding: Students ...

    will be able to learn how knowledge can explicitly acquired and represented in a formal knowledge representation formalism. The represented knowledge aims to make machines able to apply knowledge and support workers in their daily business.

Applying Knowledge and Understanding: Students ...

    With the assignement the student pick up a real world example from a company (e.g. in which they work). They analyse the problem (analytical skills), decide for the most appropriate knowledge representation formalism (decision support) and demonstrate how the problem can be solved by the techniques learnt in this module (problem solving).

Making Judgements: Students ...

    After that course the students are able to apply the right formalism or learning technique for a given problem (decision support).

Communications Skills: Students ...

Learning Skills: Students ...

    During the assignment they will deepen their knowledge about the teached techniques and complement it with further material.","​This module is concerned with the acquisition, the representation and the inference of knowledge. Various forms of knowledge representation and inference techniques are analysed and discussed in detail. This course will include topics like
•Introduction
•Knowledge in processes
•Classification of knowledge
•inference principles
•Time/Space, non- monotonic Reasoning
•Knowledge representation
•Decision Logic
•OMG Decision Model and Notation Rules
•Horn logic
•Forward and backward chaining
•Data- driven and Goal- oriented
•Negation- as- failure
•Object- centred Systems
•Description Logics
•Knowledge Graphs
•Uncertainty / Non- monotonic Reasoning
•Fuzzy: Subsymbolic: Machine Learning
•Optional: Deep Neuronal Networks Combining Symbolic and Subsymbolic Reasoning",
Course_Lean_Entrepreneurship,https://modulbeschreibungen.webapps.fhnw.ch/detail/23HS_9324401,Lean Entrepreneurship,"Most entrepreneurs go about things differently. Their natural inclination is to put thinking into immediate action to see if it works.
Lean entrepreneurship emphasizes developing an understanding of entrepreneurial thought, mindset, and action, and then progresses through idea generation, and screening for patterns to predict success, and which underlie entrepreneurial decision making for enterprise creation and growth.",elective,,,"Knowledge and Understanding: Students ...

    Understand entrepreneurship by doing entrepreneurship.Study, investigate, discuss, and experiment creative processes to generate and evaluate entrepreneurial ideas, then learn how to turn the idea into a real startup (early stage) or to develop (incept) a new business concept for an existing company with an omnidirectional scope, or to start one's own business.

Applying Knowledge and Understanding: Students ...

    areable to generate business ideasable to apply tools and instruments for data collectionable to design clear and informative surveys and reports that satisfy business information needsable to paraphrase and interpret information in one's own wordsable to apply the knowhow to convert business opportunities into workable and marketable products

Making Judgements: Students ...

    are able to identify problems needing a solutionable to validate and recognize business opportunitiesable to select, interpret, and judge information from stakeholdersable to identify ethical and legal issues of new business idea

Communications Skills: Students ...

    are able to work within multicultural teams and interact with other stakeholdersable to put in the practice active listening and humble inquiry as well as giving and receiving feedback

Learning Skills: Students ...

    are able to prepare independently for successful cooperation with teammates to achieve the goals of given projects.able to reflect on personal experience in crosscultural leadership development and learning","Part 1: Exploration
•Unit 1: Introduction to lean entrepreneurship
•Unit 2: Ideas generation and opportunites recognition
Part 2: Formation
•Unit 3: Key frameworks and models
•Unit 4: Customer discovery
Part 3: Validation
•Unit 5: Customer validation
•Unit 6: Entrepreneurial finance
•Unit 7: Legal issues
Part 4: Action
•Unit 8: Business plan",
Course_Master_Thesis,https://modulbeschreibungen.webapps.fhnw.ch/detail/23HS_9329851,Master Thesis,"In the master thesis the students deal with a concrete, practically relevant topic in the area of business information systems. There are two types of Master Thesis:
•Application-oriented research: The topic of the master thesis must be research-based (generating new knowledge, applying research methods, and transparent presentation) and has to help answer questions of practical relevance for enterprises and demonstrate an impact on the business. Therefore the master thesis can be written in cooperation and/or in order for an enterprise located in Switzerland or all over the world.
•New Business: The thesis deals with an innovation that can lead to the founding of a startup company. The thesis has to deal with both the technical innovation and the market research. There is the possibility to deal with technical innovation and market research in two linked master theses.",mandatory,The module Master Thesis Proposal has to be passed before.,,"Knowledge and Understanding: Students ...

    know about appropriate methdologies and their application areas.
    have a deep understanding of the domain.

Applying Knowledge and Understanding: Students ...

    can select, adapt and apply the appropriate methodology to solve the identified problem.

Making Judgements: Students ...

    can determine appropriate solutions for a research-worthy problem with a business impact that is either scientific or market relevant, depending on the type of thesis, and provide evidence that the solution is appropriate.

Communications Skills: Students ...

    are able to explain the work and defend it in a colloquium.

Learning Skills: Students ...

    are able to do explore a domain of interest based on relevant literature and collection of data.","The students are expected to bring together aspects of learning from previous modules as well as using this learning as the basis for planning, conducting and writing up a project.",Course_Master_Thesis_Proposal
Course_Master_Thesis_Proposal,https://modulbeschreibungen.webapps.fhnw.ch/detail/23HS_9197999,Master Thesis Proposal,"In the master thesis the students deal with a concrete, practically relevant topic in the area of business information systems. There are two types of master thesis:
•Application-oriented research: The topic of the master thesis must be research-based (generating new knowledge, applying research methods, and transparent presentation) and has to help answer questions of practical relevance for enterprises and demonstrate an impact on the business. Therefore the master thesis can be written in cooperation and/or in order for an enterprise located in Switzerland or all over the world.
•New Business: The thesis deals with an innovation that can lead to the founding of a startup company. The thesis has to deal with both the technical innovation and the market research. There is the possibility to deal with technical innovation and market research in two linked master theses.
The master thesis proposal is the first phase of the master thesis, in which the students familiarize themselves with and focus on a topic of their interest. They derive the research problem based on a literature review, determine the intended research contribution, identify the appropriate research strategy and make a plan of their research, including a specification of the data collection and analysis.",mandatory,Research Methods for Information Systems has be passed before starting the master thesis proposal.,,"Knowledge and Understanding: Students ...

    know about appropriate methdologies and their application areas.
    have an understanding of the domain deep enough to determine the problem description.

Applying Knowledge and Understanding: Students ...

    can select and adapt the appropriate methodology to solve the identified problem.

Making Judgements: Students ...

    can derive a research-worthy problem with a business impact and which is either scientific or market relevant, depending on the type of thesis.

Communications Skills: Students ...

    can write a convincing argumentation for the problem statement based on the review of relevant literature.

Learning Skills: Students ...

    are able to do identify relevant literature and analyse it with respect the topic.","During this module the students determine the research problem, based on practical relevance and a literature review, they define the thesis statement, concretize the research questions and determine the research methodology which is appropriate to do the research.
The concrete topic and objective is agreed upon between student and supervisor at the beginning of the project. In a two-day Master Thesis Seminar the students are supported in setting up the master thesis project, phrasing the thesis statement, doing a literature review and specifying the research methodology. ",Course_Research_Methods_in_Information_Systems
Course_Model-based_Design_of_Cyber-Physical_Solutions,https://modulbeschreibungen.webapps.fhnw.ch/detail/23FS_9530118,Model-based Design of Cyber-Physical Solutions,"This module deals with the design of business solutions which integrate the digital and the physical world. Conceptual modeling and metamodeling are core competences for designing complex solutions involving stakeholders with different backgrounds. Gaphical models can be created and interpreted by people which do not have any programming skills. They allow for discussions about advantages and disadvantages of alternative designs, which can be adapted and prototyped during creative workshop sessions.
The module is offered in two modes:In the local mode the module is offered during the semester with weekly sessions.Eight students have the opportunity to attend this module in joint offer by three universities: FHNW, Cape Peninsula University of Technology, University of Pretoria. Eight students from each university participate in the course, which is taught within three weeks in South Africa and one week in Switzerland.",elective,,"Links to other modules: This module goes deeper in the Conceptual Modeling, which has been briefly dealt with in the modules Alignment of Business and IT andKnowledge Processing and Decision Making. It also shows a tool support for Design Thinking, which is taught in Innovation in the Digital Age.","Knowledge and Understanding: Students ...

    Understand the distinction between modeling and metamodeling.
    Know various approaches for conceptual modeling, in particular graphical modeling and ontological modeling.

Applying Knowledge and Understanding: Students ...

    Being able to design domainspecific metamodels and modeling languages by determining relevant concepts for a domain.
    Use abstraction to deal with complex situations: create conceptuals models to represent relevant aspects for supporting decision making and designing solutions.

Making Judgements: Students ...

    Making decision based on conceptual models and reasoning.

Communications Skills: Students ...

    Communication between stakeholders with different background.
    Collaborations for joint decision making
    Interaction between people with different cultural and education background.

Learning Skills: Students ...

    In the projectbased setting, students need to acquire knowledge about applications domains by themselves in order to be able to create innovative solutions.","​The module will cover the following topics:

    ​Enterprise Modeling
    Metamodeling
    Ontology-based and agile Metamodeling
    Design Thinking
    Prototyping
    Cyber-physical Systems",
Course_Qualitative_Decision_Making_and_Knowledge_Management,https://modulbeschreibungen.webapps.fhnw.ch/detail/23HS_9465658,Qualitative Decision Making and Knowledge Management,"Decision-making is based on data and knowledge. Decision-making (DM) processes are concerned with analytical approaches that help business actors in turning data into knowledge and action. Knowledge management (KM) processes are concerned with identification, storage, sharing, and effectively using knowledge, which can be explicit or implicit requiring different methods for managing it. The module explores decision-making and knowledge management processes that are driven by qualitative data and the required analytical approaches to exploit insight and sensemaking. A focus of the module is on knowledge-supported decision making which requires knowledge. As several people and roles are involved in the decision-making, it is a challenge that decisions in an enterprise are consistent - independent of the individual person. Another challenge is that decision criteria are adapted to changing situations. This is the reason to combine decision-making and knowledge management in a single module.",elective,"Elective, Competence Area / Module Group: Intelligent Information Systems",,"Knowledge and Understanding: Students ...

    Understand the linkage between decision making and knowledge management
    be able to explain decision making and knowledge management processes and how they can be exploited
    understand different types of knowledge (tacit, implicit, explicit) and the building blocks for knowledge management

Applying Knowledge and Understanding: Students ...

    Be able to design meaningful and informative reports and dashboards that satisfy business decision needs (Objective 1.5)
    be able to formulate problems as knowledge and data analysis tasks and interpret results (Objective 1.5)
    Be able to apply information technology datadriven and knowledge-supported decision making and for knowledge sharing.

Making Judgements: Students ...

    Being able to determine the appropriate knowledge management strategies and approaches for knowledge management
    being able to assess the decision maturity of an enterprise.
    be able to identify relevant ethical and legal
    be able to judge and select appropriate analytical tools forgiven specific business cases
    be able to judge the potential that predictive analysis techniques have for improving the effectiveness and efficiency of decision making (Objective 3.1)

Communications Skills: Students ...

    Communicate and share knowledge for decision making.
    be able to explain DM and KM related analyses and provide recommendations
    be able to elicit analytical requirements, e.g. based on interviews with business stakeholders (Objective 1.1)
    be able to set up a plan of action for innovative KM and DM initiatives

Learning Skills: Students ...

    be able to develop strategies for successful KM and DM","Introduction to decision making and knowledge management
    Qualitative decision making (strategic, organisational, operational), requirement-based decision making
    Decision management and decision maturity
    Knowledge management(knowledge management strategies, knowledge management services, business-process-oriented knowledge management)
    knowledge-driven decision making",
